case_id,parent_circuit_id,metric_name,manifest_sha256,netlist_sha256,specification_sha256,testbench_sha256,variant_override_status,netlist_binding_status,specification_binding_status,metric_binding_status,measurement_backend,measured_value,unit,operator,threshold,metric_status,compliance_status,evaluation_outcome,ground_truth_label,independent_value,absolute_error,relative_error,paper_eligible,simulation_mode,execution_status,source_artifact,artifact_dir,independent_agreement
ref_fp2_p01_amplifier,p01_amplifier,dc_gain_db,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,34bb6f66e70c454b0870b7bff11eef89c6b70a807bfc13f1c186a100e9bdfb6d,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,e58d2692ef4f8b4dd74676143fa5f67f3d7fa9077d97a6dd7df7c184feb56cef,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,-31.88738224966965,dB,>=,-35.0,PASS,PASS,TRUE_ACCEPT,GROUND_TRUTH_COMPLIANT,-31.88738224966965,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_xec5lt_d\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p01_amplifier,True
ref_fp2_p05_amplifier,p05_amplifier,quiescent_current,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,47d0f1321538a22d9464d4b55379f1c34bc2755075e86d39ee9327c2c12a48d4,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,f776f229bc4a74c89630fdc32e2a3322a41102f14f011b3874aa779b7e95afd2,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,0.0004909874144028382,A,<=,0.001,PASS,PASS,TRUE_ACCEPT,GROUND_TRUTH_COMPLIANT,0.0004909874144028382,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_yad9l_5f\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p05_amplifier,True
ref_fp2_p17_currentmirror,p17_currentmirror,quiescent_current,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,1fabf7ca549dc5090b8245e186ed970e6f811965f90ad5b84ae5f5867956ffa2,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,e2fe2509d224cab6c824db31a3342566b9a4720c49a319b072f20678cae41181,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,0.0001999999999999999,A,within,0.0001..0.05,PASS,PASS,TRUE_ACCEPT,GROUND_TRUTH_COMPLIANT,0.0001999999999999999,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_9toe_vpw\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p17_currentmirror,True
ref_fp2_p16_opamp,p16_opamp,quiescent_current,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,2c13a8e0aaf4730cf7fc1f228287f37342eaecc3455d9277f1b7a84ce2709c8c,2d3f717815e244a88039632ee9645c0f56d3b0b2a6e65f08bde1f9900777a515,e7f53d10ef5a7ffa600172a382a4ff5180a4fcfb7ca952bba459e130b434a312,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,0.0006250000015100062,A,within,0.0001..0.05,PASS,PASS,TRUE_ACCEPT,GROUND_TRUTH_COMPLIANT,0.0006250000015100062,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_b3i6dqiw\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p16_opamp,True
ref_fp2_p20_opamp,p20_opamp,quiescent_current,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,4be8d0cf8b361ca8adc1392c9b7d8af8694bf3a06d4c2a91600cda708c7b8339,1a4a366a1714a3057701c90f2728158f5f173ea0a22b06b280879283f7dd9f75,111ac954e226459dc41ceaa27400a3ba00d0ca241531b216c7c9c05dfcf7b94e,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,0.001724533004994869,A,within,0.0005..0.05,PASS,PASS,TRUE_ACCEPT,GROUND_TRUTH_COMPLIANT,0.001724533004994869,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_kgjtctgs\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p20_opamp,True
ref_fp2_p22_oscillator,p22_oscillator,startup_amplitude,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,060c0dc5b6e4b187e05faa579f430ea19b0ad2ce490288d324c174fc2df573cb,d0eaf17d4e54e6327663d9bf99da650ee3ed68c83427e73965dc9f0a08eb6245,e94daa443e3f0f048c29bb4055eaf04950a07fed9903bd02138f31841c92e3d0,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,4.11339e-09,V,>=,1e-12,PASS,PASS,TRUE_ACCEPT,GROUND_TRUTH_COMPLIANT,4.113387408466451e-09,2.591533549178974e-15,6.300241848956179e-07,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_fts8506u\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p22_oscillator,True
ref_fp2_p07_inverter,p07_inverter,operating_point,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,d2846b9031cad7f8f2e941d0b7695ab692bb2ddfe353c5c371d31538541db70a,c4493ad168ea12e196ae696e5720481f9e0cd1f1c1c0885ed6a31a0360b2227a,df7cb6ec57d2480138e9d7375c07f9ee79b621633d4b420a3155147e44b7ee21,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,4.933147126837077,V,within,0.5..5.1,PASS,PASS,TRUE_ACCEPT,GROUND_TRUTH_COMPLIANT,4.933147126837077,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_c3411v05\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\ref_fp2_p07_inverter,True
fp2_cv_006_p01_gain_strong,p01_amplifier,dc_gain_db,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,298ea2ec7594408604d6b3204b9b7516d7bcd65717db080ccac62c0a518d520a,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,e73c8a0093a7ef645584c19790b671cf1d46a7869c6635eac417647aa0f864c5,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,-40.00000000000868,dB,>=,-35.0,FAIL,FAIL,TRUE_DETECTION,GROUND_TRUTH_NONCOMPLIANT,-40.00000000000868,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_1fy9w6hn\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\fp2_cv_006_p01_gain_strong,True
fp2_cv_023_p05_current_strong,p05_amplifier,quiescent_current,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,47272e7e6e59f11222ba89664ec710a9f8c421c4898bdec3909e799166a5f8c7,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,3a8eeca37b39b88d363d266954c8c926cab050176a6685c707c7018dc48ac334,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,0.004883194641745619,A,<=,0.001,FAIL,FAIL,TRUE_DETECTION,GROUND_TRUTH_NONCOMPLIANT,0.004883194641745619,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_uantpp2c\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\fp2_cv_023_p05_current_strong,True
fp2_cv_011_p17_current_strong,p17_currentmirror,quiescent_current,874f79bc90881e6148d45459218da3e5cdfb83b24fa36f5aebc18add84d2307a,3336525d7dcd9e48da77cdf093af33d02282ddcf43d22577b10026e816e93e28,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,be6c537deac42fc12a69e1fd0bc57c5254062498829d5e29a197f065f4afbcb8,APPLIED,MATCH,MATCH,EXACT_MATCH,NGSPICE_MEASURE,1.999999910259551e-09,A,within,0.0001..0.05,FAIL,FAIL,TRUE_DETECTION,GROUND_TRUTH_NONCOMPLIANT,1.999999910259551e-09,0.0,0.0,True,REAL,SUCCESS,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_538iqp91\measures.txt,E:\my_organisation\Memoire Maruba\code\Spec2Testbench\artifacts\frozen_pilot_v2\20260712T174939Z\fp2_cv_011_p17_current_strong,True
