case_id,execution_status,simulation_mode,compliance_status,scientific_category,measurement_backend,report_path
p01_amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p01_amplifier\report.json
p02_amplifier,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p02_amplifier\report.json
p03_amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p03_amplifier\report.json
p04_amplifier,SUCCESS,REAL,FAIL,SIMULABLE_NONCOMPLIANT,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p04_amplifier\report.json
p05_amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p05_amplifier\report.json
p06_inverter,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p06_inverter\report.json
p07_inverter,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p07_inverter\report.json
p08_currentmirror,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p08_currentmirror\report.json
p09_comparator,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p09_comparator\report.json
p10_lowpass,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_WRDATA,paper_final\evidence_freeze_20260724\nominal\cases\p10_lowpass\report.json
p11_highpass,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,NGSPICE_WRDATA,paper_final\evidence_freeze_20260724\nominal\cases\p11_highpass\report.json
p12_bandpass,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_WRDATA,paper_final\evidence_freeze_20260724\nominal\cases\p12_bandpass\report.json
p13_bandstop,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,NGSPICE_WRDATA,paper_final\evidence_freeze_20260724\nominal\cases\p13_bandstop\report.json
p14_amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p14_amplifier\report.json
p15_amplifier,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p15_amplifier\report.json
p16_opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p16_opamp\report.json
p17_currentmirror,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p17_currentmirror\report.json
p18_opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p18_opamp\report.json
p19_mixer,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p19_mixer\report.json
p20_opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p20_opamp\report.json
p21_opamp,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p21_opamp\report.json
p22_oscillator,SUCCESS,REAL,NOT_EVALUATED,UNEVALUATED,NGSPICE_WRDATA,paper_final\evidence_freeze_20260724\nominal\cases\p22_oscillator\report.json
p23_oscillator,SUCCESS,REAL,FAIL,SIMULABLE_NONCOMPLIANT,NGSPICE_WRDATA,paper_final\evidence_freeze_20260724\nominal\cases\p23_oscillator\report.json
p24_integrator,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p24_integrator\report.json
p25_differentiator,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p25_differentiator\report.json
p26_adder,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p26_adder\report.json
p27_subtractor,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,NGSPICE_MEASURE,paper_final\evidence_freeze_20260724\nominal\cases\p27_subtractor\report.json
p28_schmitt,SUCCESS,REAL,PASS,SIMULABLE_COMPLIANT,MIXED,paper_final\evidence_freeze_20260724\nominal\cases\p28_schmitt\report.json
