case_id,parent_circuit_id,circuit_family,mutation_type,target_metric,ground_truth_label,execution_status,compliance_status,scientific_category,netlist_binding_status,measurement_backend,mutation_effectiveness_status,threshold_crossed_independently,expected_outcome,classification_result,simulation_mode,paper_eligible
cv_001_p10_c_huge,p10_lowpass,low_pass_filter,frequency_bandwidth,cutoff_frequency_hz,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,EFFECTIVE_NO_THRESHOLD_CROSSING,False,FAIL,FALSE_PASS,REAL,True
cv_002_p10_r_huge,p10_lowpass,low_pass_filter,frequency_bandwidth,cutoff_frequency_hz,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,EFFECTIVE_NO_THRESHOLD_CROSSING,False,FAIL,FALSE_PASS,REAL,True
cv_003_p11_c_huge,p11_highpass,high_pass_filter,frequency_bandwidth,cutoff_frequency_hz,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,EFFECTIVE_THRESHOLD_CROSSED,True,FAIL,FALSE_PASS,REAL,True
cv_004_p12_r_shift,p12_bandpass,band_pass_filter,frequency_bandwidth,center_frequency,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NOT_EVALUATED,False,FAIL,FALSE_PASS,REAL,True
cv_005_p13_c_shift,p13_bandstop,notch_filter,frequency_bandwidth,center_frequency,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NOT_EVALUATED,False,FAIL,FALSE_PASS,REAL,True
cv_006_p01_rd_low,p01_amplifier,amplifier,gain,dc_gain_db,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,EFFECTIVE_NO_THRESHOLD_CROSSING,False,FAIL,FALSE_PASS,REAL,True
cv_007_p02_rd_low,p02_amplifier,amplifier,gain,dc_gain_db,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NO_MEASURABLE_EFFECT,False,FAIL,FALSE_PASS,REAL,True
cv_008_p03_rd_low,p03_amplifier,amplifier,gain,dc_gain_db,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,EFFECTIVE_NO_THRESHOLD_CROSSING,False,FAIL,FALSE_PASS,REAL,True
cv_009_p14_rd_low,p14_amplifier,amplifier,gain,dc_gain_db,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,EFFECTIVE_NO_THRESHOLD_CROSSING,False,FAIL,FALSE_PASS,REAL,True
cv_010_p08_iref_low,p08_currentmirror,current_mirror,dc_voltage_current,quiescent_current,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NO_MEASURABLE_EFFECT,False,FAIL,FALSE_PASS,REAL,True
cv_011_p17_iref_low,p17_currentmirror,current_mirror,dc_voltage_current,quiescent_current,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NO_MEASURABLE_EFFECT,False,FAIL,FALSE_PASS,REAL,True
cv_012_p16_vdd_low,p16_opamp,opamp,dc_voltage_current,operating_point,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NOT_EVALUATED,False,FAIL,FALSE_PASS,REAL,True
cv_013_p20_vdd_low,p20_opamp,opamp,dc_voltage_current,operating_point,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NOT_EVALUATED,False,FAIL,FALSE_PASS,REAL,True
cv_014_p09_input_slow,p09_comparator,comparator,timing,propagation_delay,GROUND_TRUTH_NONCOMPLIANT,ERROR,NOT_EVALUATED,NON_SIMULABLE,NOT_VERIFIED,UNAVAILABLE,NOT_EVALUATED,False,FAIL,UNEVALUATED,REAL,False
cv_015_p24_c_large,p24_integrator,opamp_integrator,timing,settling_time,GROUND_TRUTH_NONCOMPLIANT,ERROR,NOT_EVALUATED,NON_SIMULABLE,NOT_VERIFIED,UNAVAILABLE,NOT_EVALUATED,False,FAIL,UNEVALUATED,REAL,False
cv_016_p25_c_large,p25_differentiator,opamp_differentiator,timing,slew_rate,GROUND_TRUTH_NONCOMPLIANT,SUCCESS,PASS,SIMULABLE_COMPLIANT,MATCH,NGSPICE_MEASURE,NO_MEASURABLE_EFFECT,False,FAIL,FALSE_PASS,REAL,True
