case_id,trial_count,plan_agreement_across_trials,analysis_agreement,backend_agreement,metric_coverage_variance,verdict_stability,latency_median_s,latency_range_s
ref_fp2_p01_amplifier,3,True,True,True,0.0,True,0.0,0.0
ref_fp2_p05_amplifier,3,True,True,True,0.0,True,0.0,0.0
ref_fp2_p17_currentmirror,3,True,True,True,0.0,True,0.0,0.0
ref_fp2_p16_opamp,3,True,True,True,0.0,True,0.0,0.002000093460083008
ref_fp2_p20_opamp,3,True,True,True,0.0,True,0.0,0.001003265380859375
ref_fp2_p22_oscillator,3,True,True,True,0.0,True,0.0,0.0009834766387939453
ref_fp2_p07_inverter,3,True,True,True,0.0,True,0.0,0.0
fp2_cv_006_p01_gain_strong,3,True,True,True,0.0,True,0.001001596450805664,0.0010025501251220703
fp2_cv_023_p05_current_strong,3,True,True,True,0.0,True,0.0,0.0010051727294921875
fp2_cv_011_p17_current_strong,3,True,True,True,0.0,True,0.0,0.0
fp2_cv_012_p16_bias_strong,3,True,True,True,0.0,True,0.0,0.0010020732879638672
fp2_cv_013_p20_bias_strong,3,True,True,True,0.0,True,0.0,0.0010197162628173828
fp2_cv_019_p22_amplitude_strong,3,True,True,True,0.0,True,0.0,0.0009598731994628906
fp2_cv_026_p07_output_strong,3,True,True,True,0.0,True,0.0,0.0
wrdata_nominal,3,True,True,True,0.0,True,0.0,0.0010030269622802734
wrdata_controlled_violation,3,True,True,True,0.0,True,0.0,0.0
