case_id,historical_netlist_sha256,new_netlist_sha256,historical_specification_sha256,new_specification_sha256,historical_testbench_sha256,new_testbench_sha256,artifact_hash_parity_status
ref_fp2_p01_amplifier,34bb6f66e70c454b0870b7bff11eef89c6b70a807bfc13f1c186a100e9bdfb6d,34bb6f66e70c454b0870b7bff11eef89c6b70a807bfc13f1c186a100e9bdfb6d,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,e58d2692ef4f8b4dd74676143fa5f67f3d7fa9077d97a6dd7df7c184feb56cef,e58d2692ef4f8b4dd74676143fa5f67f3d7fa9077d97a6dd7df7c184feb56cef,EXACT_MATCH
ref_fp2_p05_amplifier,47d0f1321538a22d9464d4b55379f1c34bc2755075e86d39ee9327c2c12a48d4,47d0f1321538a22d9464d4b55379f1c34bc2755075e86d39ee9327c2c12a48d4,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,f776f229bc4a74c89630fdc32e2a3322a41102f14f011b3874aa779b7e95afd2,f776f229bc4a74c89630fdc32e2a3322a41102f14f011b3874aa779b7e95afd2,EXACT_MATCH
ref_fp2_p17_currentmirror,1fabf7ca549dc5090b8245e186ed970e6f811965f90ad5b84ae5f5867956ffa2,1fabf7ca549dc5090b8245e186ed970e6f811965f90ad5b84ae5f5867956ffa2,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,e2fe2509d224cab6c824db31a3342566b9a4720c49a319b072f20678cae41181,e2fe2509d224cab6c824db31a3342566b9a4720c49a319b072f20678cae41181,EXACT_MATCH
ref_fp2_p16_opamp,2c13a8e0aaf4730cf7fc1f228287f37342eaecc3455d9277f1b7a84ce2709c8c,2c13a8e0aaf4730cf7fc1f228287f37342eaecc3455d9277f1b7a84ce2709c8c,2d3f717815e244a88039632ee9645c0f56d3b0b2a6e65f08bde1f9900777a515,2d3f717815e244a88039632ee9645c0f56d3b0b2a6e65f08bde1f9900777a515,e7f53d10ef5a7ffa600172a382a4ff5180a4fcfb7ca952bba459e130b434a312,e7f53d10ef5a7ffa600172a382a4ff5180a4fcfb7ca952bba459e130b434a312,EXACT_MATCH
ref_fp2_p20_opamp,4be8d0cf8b361ca8adc1392c9b7d8af8694bf3a06d4c2a91600cda708c7b8339,4be8d0cf8b361ca8adc1392c9b7d8af8694bf3a06d4c2a91600cda708c7b8339,1a4a366a1714a3057701c90f2728158f5f173ea0a22b06b280879283f7dd9f75,1a4a366a1714a3057701c90f2728158f5f173ea0a22b06b280879283f7dd9f75,111ac954e226459dc41ceaa27400a3ba00d0ca241531b216c7c9c05dfcf7b94e,111ac954e226459dc41ceaa27400a3ba00d0ca241531b216c7c9c05dfcf7b94e,EXACT_MATCH
ref_fp2_p22_oscillator,060c0dc5b6e4b187e05faa579f430ea19b0ad2ce490288d324c174fc2df573cb,060c0dc5b6e4b187e05faa579f430ea19b0ad2ce490288d324c174fc2df573cb,d0eaf17d4e54e6327663d9bf99da650ee3ed68c83427e73965dc9f0a08eb6245,d0eaf17d4e54e6327663d9bf99da650ee3ed68c83427e73965dc9f0a08eb6245,e94daa443e3f0f048c29bb4055eaf04950a07fed9903bd02138f31841c92e3d0,e94daa443e3f0f048c29bb4055eaf04950a07fed9903bd02138f31841c92e3d0,EXACT_MATCH
ref_fp2_p07_inverter,d2846b9031cad7f8f2e941d0b7695ab692bb2ddfe353c5c371d31538541db70a,d2846b9031cad7f8f2e941d0b7695ab692bb2ddfe353c5c371d31538541db70a,c4493ad168ea12e196ae696e5720481f9e0cd1f1c1c0885ed6a31a0360b2227a,c4493ad168ea12e196ae696e5720481f9e0cd1f1c1c0885ed6a31a0360b2227a,df7cb6ec57d2480138e9d7375c07f9ee79b621633d4b420a3155147e44b7ee21,df7cb6ec57d2480138e9d7375c07f9ee79b621633d4b420a3155147e44b7ee21,EXACT_MATCH
fp2_cv_006_p01_gain_strong,298ea2ec7594408604d6b3204b9b7516d7bcd65717db080ccac62c0a518d520a,298ea2ec7594408604d6b3204b9b7516d7bcd65717db080ccac62c0a518d520a,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,f790722aea586a44e59bffbd628117e42f56a064bdfc2f505c691d5ba2f4bebc,e73c8a0093a7ef645584c19790b671cf1d46a7869c6635eac417647aa0f864c5,e73c8a0093a7ef645584c19790b671cf1d46a7869c6635eac417647aa0f864c5,EXACT_MATCH
fp2_cv_023_p05_current_strong,47272e7e6e59f11222ba89664ec710a9f8c421c4898bdec3909e799166a5f8c7,47272e7e6e59f11222ba89664ec710a9f8c421c4898bdec3909e799166a5f8c7,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,ee2ea082be2a3a46b51d7f8b554b7814b04453ae54eb29fdb9308296b9ea7f5b,3a8eeca37b39b88d363d266954c8c926cab050176a6685c707c7018dc48ac334,3a8eeca37b39b88d363d266954c8c926cab050176a6685c707c7018dc48ac334,EXACT_MATCH
fp2_cv_011_p17_current_strong,3336525d7dcd9e48da77cdf093af33d02282ddcf43d22577b10026e816e93e28,3336525d7dcd9e48da77cdf093af33d02282ddcf43d22577b10026e816e93e28,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,2b41d06d998312662ca88ec3faa2eea6c6c80f93056242d26357af0479d7d9e8,be6c537deac42fc12a69e1fd0bc57c5254062498829d5e29a197f065f4afbcb8,be6c537deac42fc12a69e1fd0bc57c5254062498829d5e29a197f065f4afbcb8,EXACT_MATCH
