case_id,parent_circuit_id,use_case,targeted_metric,specification_file,netlist_file
ref_fp2_p01_amplifier,p01_amplifier,UC_AC_GAIN,dc_gain_db,experiments\frozen_pilot_v2\ref_fp2_p01_amplifier\specification.yaml,benchmark\analogcoder_pro\p01_amplifier.cir
ref_fp2_p05_amplifier,p05_amplifier,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\ref_fp2_p05_amplifier\specification.yaml,benchmark\analogcoder_pro\p05_amplifier.cir
ref_fp2_p17_currentmirror,p17_currentmirror,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\ref_fp2_p17_currentmirror\specification.yaml,benchmark\analogcoder_pro\p17_currentmirror.cir
ref_fp2_p16_opamp,p16_opamp,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\ref_fp2_p16_opamp\specification.yaml,benchmark\analogcoder_pro\p16_opamp.cir
ref_fp2_p20_opamp,p20_opamp,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\ref_fp2_p20_opamp\specification.yaml,benchmark\analogcoder_pro\p20_opamp.cir
ref_fp2_p22_oscillator,p22_oscillator,UC_OSCILLATION_FREQUENCY,startup_amplitude,experiments\frozen_pilot_v2\ref_fp2_p22_oscillator\specification.yaml,benchmark\analogcoder_pro\p22_oscillator.cir
ref_fp2_p07_inverter,p07_inverter,UC_DC_BIAS,operating_point,experiments\frozen_pilot_v2\ref_fp2_p07_inverter\specification.yaml,benchmark\analogcoder_pro\p07_inverter.cir
fp2_cv_006_p01_gain_strong,p01_amplifier,UC_AC_GAIN,dc_gain_db,experiments\frozen_pilot_v2\fp2_cv_006_p01_gain\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_006_p01_gain\strong\netlist.cir
fp2_cv_023_p05_current_strong,p05_amplifier,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\fp2_cv_023_p05_current\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_023_p05_current\strong\netlist.cir
fp2_cv_011_p17_current_strong,p17_currentmirror,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\fp2_cv_011_p17_current\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_011_p17_current\strong\netlist.cir
fp2_cv_012_p16_bias_strong,p16_opamp,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\fp2_cv_012_p16_bias\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_012_p16_bias\strong\netlist.cir
fp2_cv_013_p20_bias_strong,p20_opamp,UC_DC_CURRENT_POWER,quiescent_current,experiments\frozen_pilot_v2\fp2_cv_013_p20_bias\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_013_p20_bias\strong\netlist.cir
fp2_cv_019_p22_amplitude_strong,p22_oscillator,UC_OSCILLATION_FREQUENCY,startup_amplitude,experiments\frozen_pilot_v2\fp2_cv_019_p22_amplitude\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_019_p22_amplitude\strong\netlist.cir
fp2_cv_026_p07_output_strong,p07_inverter,UC_DC_BIAS,operating_point,experiments\frozen_pilot_v2\fp2_cv_026_p07_output\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_026_p07_output\strong\netlist.cir
wrdata_nominal,p22_oscillator,UC_OSCILLATION_FREQUENCY,startup_amplitude,experiments\frozen_pilot_v2\ref_fp2_p22_oscillator\specification.yaml,benchmark\analogcoder_pro\p22_oscillator.cir
wrdata_controlled_violation,p22_oscillator,UC_OSCILLATION_FREQUENCY,startup_amplitude,experiments\frozen_pilot_v2\fp2_cv_019_p22_amplitude\strong\specification.yaml,experiments\frozen_pilot_v2\fp2_cv_019_p22_amplitude\strong\netlist.cir
