run_id,case_id,use_case,circuit_family,ground_truth_label,generation_mode,trial_id,provider,provider_mode,scientific_llm_evidence,performance_evidence_scope,model,prompt_version,initial_json_valid,final_plan_valid,repair_count,testbench_validity_status,execution_status,simulation_mode,measurement_backend,requested_metric_count,evaluated_metric_count,metric_coverage,compliance_status,scientific_category,evaluation_outcome,generation_latency_s,simulation_latency_s,prompt_tokens,completion_tokens,total_tokens,manifest_source,cache_used,metric_name,metric_value,metric_unit,metric_operator,metric_threshold,metric_status,netlist_sha256,specification_sha256,testbench_sha256,artifact_dir,source_artifact
stub_use_case_smoke_20260721,smoke_p07_bias,UC_DC_BIAS,inverter,SMOKE_REFERENCE,deterministic,deterministic,pipeline_replay,,False,DETERMINISTIC_BASELINE,pipeline_replay,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.0,3.1395773887634277,,,,pipeline_replay,False,operating_point,0.8999998841554792,V,range,,PASS,d2846b9031cad7f8f2e941d0b7695ab692bb2ddfe353c5c371d31538541db70a,ef2e0370ac6a5e385e9e938769a2b73049ed8c2240d15f6190a10eb13490d6c5,2824087f0010ae8266f90eb20d7090b6ec6003dafc5a0ae4c61cdce51cb205ab,,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_q3ld4w2e\measures.txt
stub_use_case_smoke_20260721,smoke_p07_bias,UC_DC_BIAS,inverter,SMOKE_REFERENCE,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.0005178999999770895,0.0,,,,,,,,,,,,,,,,
stub_use_case_smoke_20260721,smoke_p05_current,UC_DC_CURRENT_POWER,amplifier,SMOKE_REFERENCE,deterministic,deterministic,pipeline_replay,,False,DETERMINISTIC_BASELINE,pipeline_replay,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.0,2.048623561859131,,,,pipeline_replay,False,quiescent_current,0.0004909874144028382,A,<=,0.05,PASS,47d0f1321538a22d9464d4b55379f1c34bc2755075e86d39ee9327c2c12a48d4,8d3a18ca495136433cdfa9a80fd5adb71b79979e3bd3cfbae8231fd776e27404,abc4992344979d9c6d59882cf01729f427870079acbdd9f991b80ecf859ba796,,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_fk9fy5zs\measures.txt
stub_use_case_smoke_20260721,smoke_p05_current,UC_DC_CURRENT_POWER,amplifier,SMOKE_REFERENCE,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.00016390000018873252,0.0,,,,,,,,,,,,,,,,
stub_use_case_smoke_20260721,smoke_p01_gain,UC_AC_GAIN,amplifier,SMOKE_REFERENCE,deterministic,deterministic,pipeline_replay,,False,DETERMINISTIC_BASELINE,pipeline_replay,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.0,1.5528547763824463,,,,pipeline_replay,False,dc_gain_db,-600.0,dB,>=,-700.0,PASS,34bb6f66e70c454b0870b7bff11eef89c6b70a807bfc13f1c186a100e9bdfb6d,41491b075fd943b95369000789aaf6969edca283060b581f1cb76aac759b6e6d,6271085eef0bf8a238fc799a0fa63fb374a80e5b1cbf97a85c0f16a35fe3e92e,,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_ubu2l48e\measures.txt
stub_use_case_smoke_20260721,smoke_p01_gain,UC_AC_GAIN,amplifier,SMOKE_REFERENCE,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,UNAVAILABLE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.0001739999997880659,0.0,,,,,,,,,,,,,,,,
stub_use_case_smoke_20260721,smoke_p10_cutoff,UC_FILTER_CUTOFF_BANDWIDTH,low_pass_filter,SMOKE_REFERENCE,deterministic,deterministic,pipeline_replay,,False,DETERMINISTIC_BASELINE,pipeline_replay,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.0,1.2146294116973877,,,,pipeline_replay,False,cutoff_frequency_hz,1.0,Hz,range,,PASS,6051b20abdae27ed489e01671145745fc4b1a3d2d77cb7da7a3929cf5355651c,941acad6a68aeb54ba509e846e2de37dd42ff16fdf75fcd4565684851e97a290,8dc9b24ef79ee9fa290c9cac038ccc30ab6a50f13908ebfe282ab60d8f6b604b,,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_c6wn4ikl\measures.txt
stub_use_case_smoke_20260721,smoke_p10_cutoff,UC_FILTER_CUTOFF_BANDWIDTH,low_pass_filter,SMOKE_REFERENCE,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_WRDATA,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.00015239999993355013,0.0,,,,,,,,,,,,,,,,
stub_use_case_smoke_20260721,smoke_p09_delay,UC_TRANSIENT_DELAY,comparator,SMOKE_REFERENCE,deterministic,deterministic,pipeline_replay,,False,DETERMINISTIC_BASELINE,pipeline_replay,,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.0,3.3865082263946533,,,,pipeline_replay,False,propagation_delay,-4.83103e-11,s,<=,0.001,PASS,7c8266dddbe42819163463abfab75752cf3b9e7e145b84413fe453871bb14dec,1e5a505d2348135b477e49533deb3b8584fbfd27e4940ed47d1cc04b20802f9d,f690f6017e6cbf296ea451db2650c85d806d1584d77af46388614cf86ce46929,,C:\Users\Admin\AppData\Local\Temp\spec2tb_native_3zy1ct4v\measures.txt
stub_use_case_smoke_20260721,smoke_p09_delay,UC_TRANSIENT_DELAY,comparator,SMOKE_REFERENCE,deepseek_refinement,trial_01,deepseek-stub-v1,STUB,False,SOFTWARE_INTEGRATION_ONLY,deepseek-stub-v1,deepseek_testbench_planner_v1,True,True,0,VALID,SUCCESS,REAL,NGSPICE_MEASURE,1,1,1.0,PASS,SIMULABLE_COMPLIANT,UNEVALUATED,0.00023770000007061753,0.0,,,,,,,,,,,,,,,,
