circuit_id,metric_name,measured_value,unit,operator,threshold,metric_status,source_analysis,extraction_method
p01_amplifier,operating_point,0.05012670751093593,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p01_amplifier,dc_gain_db,-31.88738224966965,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p01_amplifier,quiescent_current,0.0004949873292489065,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p02_amplifier,operating_point,4.9999999499,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p02_amplifier,dc_gain_db,-600.0,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p02_amplifier,quiescent_current,0.0009734423369404785,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p03_amplifier,operating_point,1.73645105681566,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p03_amplifier,dc_gain_db,-0.6353350842497838,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p03_amplifier,quiescent_current,0.0001736451056815664,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p04_amplifier,operating_point,4.9999999749,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p04_amplifier,dc_gain_db,-160.0000000868589,dB,>=,0.0,FAIL,AC,MetricExtractor.extract:dc_gain_db
p04_amplifier,quiescent_current,2.510000020328196e-12,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p05_amplifier,operating_point,0.09012585597161765,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p05_amplifier,dc_gain_db,-31.888621542457503,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p05_amplifier,quiescent_current,0.0004909874144028382,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p06_inverter,operating_point,1.974999801500021,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p06_inverter,propagation_delay,1.0001e-05,s,<=,0.001,PASS,,MetricExtractor.extract:propagation_delay
p07_inverter,operating_point,4.933147126837077,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p07_inverter,propagation_delay,1.000055999999918e-05,s,<=,0.001,PASS,,MetricExtractor.extract:propagation_delay
p08_currentmirror,operating_point,2.4999999749,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p08_currentmirror,quiescent_current,0.00025000000251,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p09_comparator,propagation_delay,1.0001e-05,s,<=,0.001,PASS,,MetricExtractor.extract:propagation_delay
p10_lowpass,cutoff_frequency_hz,1995.262314968884,Hz,range,,PASS,,MetricExtractor.extract:cutoff_frequency_hz
p11_highpass,cutoff_frequency_hz,1000000000.000006,Hz,range,,PASS,,MetricExtractor.extract:cutoff_frequency_hz
p12_bandpass,cutoff_frequency_hz,5911.466274248451,Hz,range,,PASS,,MetricExtractor.extract:cutoff_frequency_hz
p13_bandstop,cutoff_frequency_hz,10000.00000000003,Hz,range,,PASS,,MetricExtractor.extract:cutoff_frequency_hz
p14_amplifier,operating_point,0.2533789324414263,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p14_amplifier,dc_gain_db,151.36044420144677,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p14_amplifier,quiescent_current,0.002474662109265856,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p15_amplifier,operating_point,1.702944998208104,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p15_amplifier,dc_gain_db,0.03763389885426903,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p15_amplifier,quiescent_current,0.009779395843575246,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p16_opamp,dc_gain_db,-181.9381983957126,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p16_opamp,phase_margin,180.0,deg,>=,0.0,PASS,AC,MetricExtractor.extract:phase_margin
p16_opamp,quiescent_current,0.0006250000015100062,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p17_currentmirror,operating_point,4.000000000000002,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p17_currentmirror,quiescent_current,0.0001999999999999999,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p18_opamp,dc_gain_db,-153.97940091097064,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p18_opamp,phase_margin,180.0,deg,>=,0.0,PASS,AC,MetricExtractor.extract:phase_margin
p18_opamp,quiescent_current,0.0002500000016937714,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p19_mixer,thd_percent,23.355622489315042,%,<=,100.0,PASS,FFT,MetricExtractor.extract:thd_percent
p19_mixer,fundamental_frequency,999900.079936051,Hz,>=,1.0,PASS,,MetricExtractor.extract:fundamental_frequency
p20_opamp,dc_gain_db,-6.020600864889057,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p20_opamp,phase_margin,180.0,deg,>=,0.0,PASS,AC,MetricExtractor.extract:phase_margin
p20_opamp,quiescent_current,0.001724533004994869,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p21_opamp,dc_gain_db,-219.37592907714458,dB,>=,-700.0,PASS,AC,MetricExtractor.extract:dc_gain_db
p21_opamp,phase_margin,180.0,deg,>=,0.0,PASS,AC,MetricExtractor.extract:phase_margin
p21_opamp,quiescent_current,6.000000054684831e-05,A,<=,0.05,PASS,OP,MetricExtractor.extract:quiescent_current
p22_oscillator,oscillator_frequency,19999.600063989757,Hz,>=,1.0,PASS,,MetricExtractor.extract:oscillator_frequency
p22_oscillator,startup_amplitude,9.526170963169989e-10,V,>=,1e-12,PASS,,MetricExtractor.extract:startup_amplitude
p23_oscillator,oscillator_frequency,19999.600063989757,Hz,>=,1.0,PASS,,MetricExtractor.extract:oscillator_frequency
p23_oscillator,startup_amplitude,1.3107515073329523e-11,V,>=,1e-12,PASS,,MetricExtractor.extract:startup_amplitude
p24_integrator,slew_rate,2398797.5761123747,V/s,>=,1e-06,PASS,TRAN,MetricExtractor.extract:slew_rate
p24_integrator,settling_time,4.999696005404713e-05,s,<=,1.0,PASS,TRAN,MetricExtractor.extract:settling_time
p25_differentiator,slew_rate,63041381857.04531,V/s,>=,1e-06,PASS,TRAN,MetricExtractor.extract:slew_rate
p26_adder,operating_point,2.028846476146382,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p27_subtractor,operating_point,4.80912309782904,V,range,,PASS,OP,MetricExtractor.extract:operating_point
p28_schmitt,propagation_delay,0.0,s,<=,0.001,PASS,,MetricExtractor.extract:propagation_delay
