circuit_id,simulable,compliant,scientific_category
p01_amplifier,True,True,SIMULABLE_COMPLIANT
p02_amplifier,True,True,SIMULABLE_COMPLIANT
p03_amplifier,True,True,SIMULABLE_COMPLIANT
p04_amplifier,True,False,SIMULABLE_NONCOMPLIANT
p05_amplifier,True,True,SIMULABLE_COMPLIANT
p06_inverter,True,True,SIMULABLE_COMPLIANT
p07_inverter,True,True,SIMULABLE_COMPLIANT
p08_currentmirror,True,True,SIMULABLE_COMPLIANT
p09_comparator,True,True,SIMULABLE_COMPLIANT
p10_lowpass,True,True,SIMULABLE_COMPLIANT
p11_highpass,True,True,SIMULABLE_COMPLIANT
p12_bandpass,True,True,SIMULABLE_COMPLIANT
p13_bandstop,True,True,SIMULABLE_COMPLIANT
p14_amplifier,True,True,SIMULABLE_COMPLIANT
p15_amplifier,True,True,SIMULABLE_COMPLIANT
p16_opamp,True,True,SIMULABLE_COMPLIANT
p17_currentmirror,True,True,SIMULABLE_COMPLIANT
p18_opamp,True,True,SIMULABLE_COMPLIANT
p19_mixer,True,True,SIMULABLE_COMPLIANT
p20_opamp,True,True,SIMULABLE_COMPLIANT
p21_opamp,True,True,SIMULABLE_COMPLIANT
p22_oscillator,True,True,SIMULABLE_COMPLIANT
p23_oscillator,True,True,SIMULABLE_COMPLIANT
p24_integrator,True,True,SIMULABLE_COMPLIANT
p25_differentiator,True,True,SIMULABLE_COMPLIANT
p26_adder,True,True,SIMULABLE_COMPLIANT
p27_subtractor,True,True,SIMULABLE_COMPLIANT
p28_schmitt,True,True,SIMULABLE_COMPLIANT
