case_id,trial,mode,ground_truth_label,initial_plan_status,initial_json_valid,initial_plan_valid,json_valid,final_plan_valid,issues,initial_issues,repair_count,llm_call_count,requested_metric_count,evaluated_metric_count,requested_analysis_count,executed_analysis_count,analysis_type,execution_status,compliance_status,final_status,invariants_ok,stopped_on_electrical_fail,total_tokens,total_llm_latency_seconds,provider_transport_attempt_count,provider_transport_retry_count,prompt_sha256
p10_lowpass_nominal_gt,0,deterministic,GROUND_TRUTH_COMPLIANT,NOT_APPLICABLE,True,True,True,True,,,0,0,3,0,1,0,ac,ERROR,NOT_EVALUATED,FAIL,True,False,0,0.0,0,0,
p10_lowpass_nominal_gt,1,llm_raw_diagnostic,GROUND_TRUTH_COMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,NOT_EXECUTED_SAFETY_DIAGNOSTIC,NOT_EVALUATED,VALID,True,False,0,0.00027665099969453877,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
p10_lowpass_nominal_gt,1,llm_one_shot,GROUND_TRUTH_COMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.00015639199955330696,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
p10_lowpass_nominal_gt,1,hybrid,GROUND_TRUTH_COMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.0001280900005440344,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
cv_001_p10_c_huge,0,deterministic,GROUND_TRUTH_NONCOMPLIANT,NOT_APPLICABLE,True,True,True,True,,,0,0,3,0,1,0,ac,ERROR,NOT_EVALUATED,FAIL,True,False,0,0.0,0,0,
cv_001_p10_c_huge,1,llm_raw_diagnostic,GROUND_TRUTH_NONCOMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,NOT_EXECUTED_SAFETY_DIAGNOSTIC,NOT_EVALUATED,VALID,True,False,0,0.00014178099991113413,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
cv_001_p10_c_huge,1,llm_one_shot,GROUND_TRUTH_NONCOMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.00014746899978490546,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
cv_001_p10_c_huge,1,hybrid,GROUND_TRUTH_NONCOMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.00014828099938313244,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
p11_highpass_nominal_gt,0,deterministic,GROUND_TRUTH_COMPLIANT,NOT_APPLICABLE,True,True,True,True,,,0,0,3,0,1,0,ac,ERROR,NOT_EVALUATED,FAIL,True,False,0,0.0,0,0,
p11_highpass_nominal_gt,1,llm_raw_diagnostic,GROUND_TRUTH_COMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,NOT_EXECUTED_SAFETY_DIAGNOSTIC,NOT_EVALUATED,VALID,True,False,0,0.00016116000006149989,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
p11_highpass_nominal_gt,1,llm_one_shot,GROUND_TRUTH_COMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.0001471679997848696,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
p11_highpass_nominal_gt,1,hybrid,GROUND_TRUTH_COMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.00014938200001779478,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
cv_003_p11_c_huge,0,deterministic,GROUND_TRUTH_NONCOMPLIANT,NOT_APPLICABLE,True,True,True,True,,,0,0,3,0,1,0,ac,ERROR,NOT_EVALUATED,FAIL,True,False,0,0.0,0,0,
cv_003_p11_c_huge,1,llm_raw_diagnostic,GROUND_TRUTH_NONCOMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,NOT_EXECUTED_SAFETY_DIAGNOSTIC,NOT_EVALUATED,VALID,True,False,0,0.0001775739992808667,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
cv_003_p11_c_huge,1,llm_one_shot,GROUND_TRUTH_NONCOMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.00015649299984943355,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
cv_003_p11_c_huge,1,hybrid,GROUND_TRUTH_NONCOMPLIANT,VALID,True,True,True,True,,,0,1,2,0,1,0,AC,,NOT_EVALUATED,SIMULATION_ERROR,True,False,0,0.0002746780000961735,1,0,0398a348f90efdb7b4a0ccfad4c001a063f43406e804b034e90011c5e0ed3123
