spec,netlist,spice_testbench,pyspice_testbench,analyses,measurements,stimuli
examples\analogcoder_pro_28_specs\p01_amplifier.yaml,benchmark_analogcoder_pro_28\p01_amplifier.cir,testbenches\analogcoder_pro_28\p01_amplifier_tb.cir,testbenches\analogcoder_pro_28\p01_amplifier_tb.py,"dc,ac,tran","operating_point,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p02_amplifier.yaml,benchmark_analogcoder_pro_28\p02_amplifier.cir,testbenches\analogcoder_pro_28\p02_amplifier_tb.cir,testbenches\analogcoder_pro_28\p02_amplifier_tb.py,"dc,ac,tran","operating_point,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p03_amplifier.yaml,benchmark_analogcoder_pro_28\p03_amplifier.cir,testbenches\analogcoder_pro_28\p03_amplifier_tb.cir,testbenches\analogcoder_pro_28\p03_amplifier_tb.py,"dc,ac,tran","operating_point,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p04_amplifier.yaml,benchmark_analogcoder_pro_28\p04_amplifier.cir,testbenches\analogcoder_pro_28\p04_amplifier_tb.cir,testbenches\analogcoder_pro_28\p04_amplifier_tb.py,"dc,ac,tran","operating_point,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p05_amplifier.yaml,benchmark_analogcoder_pro_28\p05_amplifier.cir,testbenches\analogcoder_pro_28\p05_amplifier_tb.cir,testbenches\analogcoder_pro_28\p05_amplifier_tb.py,"dc,ac,tran","operating_point,quiescent_current,power,dc_gain,dc_gain_db,bandwidth,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin,vin"
examples\analogcoder_pro_28_specs\p06_inverter.yaml,benchmark_analogcoder_pro_28\p06_inverter.cir,testbenches\analogcoder_pro_28\p06_inverter_tb.cir,testbenches\analogcoder_pro_28\p06_inverter_tb.py,"dc,tran","operating_point,idd,power,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p07_inverter.yaml,benchmark_analogcoder_pro_28\p07_inverter.cir,testbenches\analogcoder_pro_28\p07_inverter_tb.cir,testbenches\analogcoder_pro_28\p07_inverter_tb.py,"dc,tran","operating_point,idd,power,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p08_currentmirror.yaml,benchmark_analogcoder_pro_28\p08_currentmirror.cir,testbenches\analogcoder_pro_28\p08_currentmirror_tb.cir,testbenches\analogcoder_pro_28\p08_currentmirror_tb.py,"dc,tran","operating_point,quiescent_current,power,slew_rate,settling_time","vin,vin"
examples\analogcoder_pro_28_specs\p09_comparator.yaml,benchmark_analogcoder_pro_28\p09_comparator.cir,testbenches\analogcoder_pro_28\p09_comparator_tb.cir,testbenches\analogcoder_pro_28\p09_comparator_tb.py,tran,"slew_rate,settling_time,propagation_delay",vin
examples\analogcoder_pro_28_specs\p10_lowpass.yaml,benchmark_analogcoder_pro_28\p10_lowpass.cir,testbenches\analogcoder_pro_28\p10_lowpass_tb.cir,testbenches\analogcoder_pro_28\p10_lowpass_tb.py,"ac,tran","dc_gain,cutoff_frequency_hz,unity_gain_frequency,phase_margin,slew_rate,settling_time","vin,vin"
